Topic,Word,TF-IDF Score
1,account,3.8920197650552764
1,check,1.7376997634944316
1,money,1.63227254343812
1,chase,1.4262508795790225
1,deposit,1.3075318125919884
1,bank,1.1477872330720293
1,fund,1.0854880972315692
1,day,0.7685168190864607
1,branch,0.7397337511717689
1,transfer,0.66517656435371
1,number,0.6446955969067076
1,transaction,0.5598353630239685
1,claim,0.548618260885142
1,business,0.5232443445893941
1,customer,0.5122532889292618
2,credit,3.105104835567998
2,card,2.239409188170478
2,report,1.5201484665767846
2,inquiry,0.9912620466298775
2,chase,0.6515011434330213
2,account,0.4494340543118138
2,score,0.4482502360784443
2,company,0.3896977622846987
2,information,0.3234828443555821
2,debt,0.3061887284397684
2,limit,0.2844100787948463
2,application,0.2745335738894294
2,letter,0.2701186926725828
2,year,0.24759449637819042
2,reporting,0.2250156652759665
3,payment,3.900738395754815
3,balance,0.6617310729645103
3,month,0.53383535000259
3,pay,0.4849372594576952
3,statement,0.4055293053281708
3,fee,0.3875920092835218
3,auto,0.3135520168578467
3,day,0.29966637091460113
3,time,0.2916401129689445
3,chase,0.2595139860945436
3,credit,0.24383180802998408
3,date,0.23520543362348525
3,mortgage,0.18786008747868113
3,error,0.18538862035672354
3,year,0.1778886460724572
4,charge,2.681436021656704
4,card,1.1424332196778042
4,fee,1.0986736732245135
4,dispute,1.036737117962342
4,chase,0.9023298999752305
4,transaction,0.7392146332763623
4,purchase,0.6100875444502993
4,merchant,0.5774121630775768
4,claim,0.4141452365115844
4,service,0.40927625387067224
4,balance,0.38125787355398455
4,fraud,0.354528611284955
4,time,0.33462258326872363
4,refund,0.3289869159817483
4,statement,0.31707293912517776
5,loan,2.0244874608404313
5,mortgage,1.4533492198161335
5,chase,1.0484631112316687
5,modification,0.7559956730715194
5,home,0.7444137369384324
5,property,0.5270212592107493
5,year,0.5045583312121195
5,letter,0.4866535205475532
5,document,0.4701574495006916
5,rate,0.4476939016469004
5,time,0.443727429807987
5,request,0.4412922772752514
5,foreclosure,0.41815866427329523
5,sale,0.36913893505000694
5,information,0.3532770456353104
